,FIRST_ORDER_DATE,LATEST_ORDER_DATE,TENURE_IN_COMPLETE_DAYS,SERVICE_RATE_PERCENT,ORDER_COUNT_VOICE_PLATFORM,BUSINESS_PHONE_COUNT,WEEKLY_SERVICE_HOURS,TOTAL_MISTAKES_COUNT,AVG_CALL_DURATION_SECONDS,is_bad_status,GMV_LEVEL_NUM,mistakes_per_order,hours_per_tenure,zip_region,CUISINE_TYPE_chinese_american,CUISINE_TYPE_chinese_japanese,CUISINE_TYPE_japanese,CUISINE_TYPE_pizza,CUISINE_TYPE_unknown,SERVICE_TYPE_part_time,tenure_bin_medium,tenure_bin_short,tenure_bin_nan,is_short_tenure
0,2024-05-15,2025-10-06,509.0,6.99,10559.0,1.0,64.0,84.0,87.0,0,1,0.007954545454545454,0.12549019607843137,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1,2023-10-20,2025-08-18,668.0,6.99,29261.0,1.0,75.0,302.85000000000036,114.0,1,3,0.01034960016403528,0.11210762331838565,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2,2024-05-15,2025-10-06,509.0,6.99,13124.0,2.0,66.0,25.0,66.0,0,2,0.0019047619047619048,0.12941176470588237,4,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
3,2023-07-31,2025-10-06,798.0,6.99,22203.0,2.0,61.0,56.0,62.0,0,2,0.0025220680958385876,0.07634543178973717,4,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
4,2023-02-18,2025-10-06,961.0,6.99,28588.0,1.0,59.0,165.0,74.0,0,2,0.005771450557906887,0.061330561330561334,2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
5,2025-03-07,2025-10-05,212.0,7.59,3041.0,2.0,55.0,50.0,86.0,0,2,0.01643655489809336,0.25821596244131456,9,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0
6,2023-08-11,2024-09-15,401.0,6.99,9337.0,2.0,63.0,26.0,74.0,1,2,0.00278432212465196,0.15671641791044777,3,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0
7,2025-07-03,2025-10-06,95.0,6.99,2011.0,1.0,61.0,19.0,73.0,0,2,0.009443339960238568,0.6354166666666666,3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1
8,2025-02-28,2025-08-15,168.0,6.99,1942.0,1.0,56.0,15.0,87.0,1,1,0.007720020586721565,0.33136094674556216,5,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0
9,2023-03-14,2025-10-05,936.0,6.99,23275.0,2.0,61.0,68.0,64.0,0,1,0.00292146416910122,0.06510138740661686,3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
10,2023-08-22,2025-09-19,759.0,6.99,4093.0,2.0,22.0,42.0,84.0,1,1,0.010258915486077186,0.02894736842105263,5,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0
11,2023-07-31,2025-10-06,798.0,6.99,32157.0,2.0,30.0,132.0,67.0,0,3,0.004104732881398097,0.03754693366708386,2,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0
12,2024-03-12,2025-10-05,572.0,6.99,22698.0,2.0,67.0,41.0,65.0,0,3,0.0018062469712322128,0.1169284467713787,2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
13,2023-05-03,2025-10-06,887.0,8.39,25585.0,2.0,67.0,119.0,86.0,0,2,0.004650981005237239,0.07545045045045046,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
14,2023-10-29,2023-12-03,35.0,7.79,2097.0,1.0,63.0,9.0,86.0,1,7,0.004289799809342231,1.75,1,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1
15,2024-01-14,2025-10-05,630.0,6.99,21075.0,1.0,59.0,45.0,72.0,0,2,0.00213513000569368,0.09350237717908082,3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
16,2025-03-04,2025-06-13,101.0,6.99,1398.0,1.0,26.0,13.0,65.0,1,1,0.009292351679771264,0.2549019607843137,4,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0
17,2024-08-28,2024-09-25,28.0,8.19,733.0,2.0,63.0,16.0,93.0,1,2,0.021798365122615803,2.1724137931034484,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1
18,2024-02-06,2025-10-05,607.0,6.99,2294.0,1.0,41.0,16.0,82.0,0,0,0.006971677559912854,0.06743421052631579,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
19,2023-03-29,2023-03-30,1.0,6.99,11.0,2.0,63.0,4.0,147.0,1,0,0.3333333333333333,31.5,9,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1
20,2024-10-21,2024-12-10,50.0,6.99,117.0,2.0,63.0,3.0,97.0,1,0,0.025423728813559324,1.2352941176470589,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1
21,2023-02-22,2025-10-05,956.0,6.99,58872.940000000206,2.0,59.0,302.85000000000036,67.0,0,4,0.005144041659178905,0.06165099268547544,2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
22,2023-08-22,2025-10-05,775.0,6.99,41325.0,1.0,60.0,231.0,77.0,0,5,0.005589701398635242,0.07731958762886598,3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
23,2023-09-21,2025-10-04,744.0,8.49,17151.0,2.0,16.0,93.0,95.0,0,2,0.005422108208955224,0.021476510067114093,2,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0
24,2023-03-22,2025-10-05,928.0,6.99,22623.0,2.0,27.0,155.0,70.0,0,2,0.006851131541725601,0.02906350914962325,1,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0
25,2025-09-12,2025-10-05,23.0,6.99,364.0,2.0,57.0,16.0,67.0,0,1,0.043835616438356165,2.375,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1
26,2024-06-08,2024-08-15,68.0,6.99,206.0,2.0,63.0,11.0,113.0,1,0,0.05314009661835749,0.9130434782608695,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1
27,2023-10-10,2025-10-05,726.0,6.99,27753.0,1.0,63.0,81.0,77.0,0,4,0.0029184982344887225,0.08665749656121045,7,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
28,2025-01-26,2025-10-06,253.0,8.39,5565.0,2.0,63.0,20.0,76.0,0,1,0.0035932446999640674,0.24803149606299213,6,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0
29,2023-04-20,2024-10-31,560.0,6.99,4971.0,2.0,62.0,46.0,79.0,1,0,0.00925181013676589,0.11051693404634581,7,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
30,2023-12-01,2024-10-14,318.0,7.59,2569.0,2.0,67.0,29.0,44.0,1,0,0.011284046692607004,0.21003134796238246,1,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0
31,2023-03-02,2023-03-08,6.0,6.99,168.0,1.0,63.0,14.0,108.0,1,2,0.08284023668639054,9.0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1
32,2024-01-04,2024-01-08,4.0,6.99,196.0,2.0,63.0,9.0,96.0,1,2,0.04568527918781726,12.6,3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1
33,2023-09-27,2023-10-14,17.0,6.99,286.0,1.0,63.0,4.0,68.0,1,0,0.013937282229965157,3.5,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1
34,2024-02-13,2025-10-06,601.0,6.99,8831.0,1.0,81.0,62.0,82.0,0,0,0.007019927536231884,0.1345514950166113,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
35,2023-06-02,2025-10-06,857.0,8.59,23760.0,2.0,84.0,167.0,100.0,0,1,0.007028323723749,0.0979020979020979,3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
36,2023-01-01,2025-10-06,1009.0,6.99,27960.0,2.0,61.0,109.0,84.0,0,3,0.0038982868996101715,0.060396039603960394,2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
37,2023-05-04,2025-10-05,885.0,7.65,30309.0,1.0,63.0,118.0,91.0,0,4,0.0038931045859452325,0.07110609480812641,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
38,2024-03-13,2024-12-15,277.0,6.99,8180.0,1.0,63.0,30.0,88.0,1,2,0.003667033370003667,0.22661870503597123,3,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0
39,2024-03-30,2025-10-05,554.0,6.99,11920.0,1.0,64.0,40.0,65.0,0,2,0.003355423202751447,0.11531531531531532,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
40,2024-04-01,2025-10-05,552.0,8.39,26221.0,2.0,71.0,170.0,102.0,0,4,0.006483105789032111,0.12839059674502712,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
41,2024-09-21,2025-10-05,379.0,6.99,10143.0,1.0,67.0,30.0,67.0,0,2,0.0029574132492113563,0.1763157894736842,4,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0
42,2023-01-28,2023-11-30,306.0,6.25,2966.0,2.0,63.0,30.0,93.0,1,1,0.010111223458038422,0.20521172638436483,9,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0
43,2024-06-03,2024-12-31,211.0,6.99,1145.0,2.0,21.0,13.0,80.0,1,0,0.011343804537521814,0.09905660377358491,6,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0
44,2024-04-18,2025-02-12,300.0,6.99,1632.0,2.0,66.0,23.0,98.0,1,0,0.014084507042253521,0.21926910299003322,0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0
45,2025-02-23,2025-10-05,224.0,6.99,6067.0,2.0,62.0,8.0,58.0,0,2,0.0013183915622940012,0.27555555555555555,2,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0
46,2025-09-15,2025-10-06,21.0,6.99,225.0,1.0,62.0,7.0,89.0,0,1,0.030973451327433628,2.8181818181818183,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1
47,2023-09-30,2023-10-19,19.0,6.99,304.0,2.0,63.0,2.0,73.0,1,1,0.006557377049180328,3.15,3,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1
48,2023-10-01,2023-12-24,84.0,6.99,1007.0,1.0,63.0,4.0,46.0,1,0,0.003968253968253968,0.7411764705882353,4,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1
49,2023-06-16,2023-08-07,52.0,6.99,195.0,1.0,63.0,3.0,67.0,1,0,0.015306122448979591,1.1886792452830188,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1
50,2024-02-01,2025-10-06,613.0,6.99,11037.0,2.0,66.0,65.0,83.0,0,1,0.0058887479615872445,0.10749185667752444,7,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
51,2023-05-24,2025-10-05,865.0,6.99,23389.0,2.0,67.0,72.0,64.0,0,1,0.0030782385634886703,0.07736720554272518,2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
52,2023-03-20,2025-10-06,931.0,6.99,54039.0,1.0,64.0,213.0,71.0,0,5,0.003941524796447076,0.06866952789699571,1,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0
53,2024-02-08,2025-10-06,606.0,6.99,18590.0,2.0,72.0,48.0,82.0,0,3,0.0025818944650637405,0.1186161449752883,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
54,2023-06-29,2025-05-29,700.0,7.79,2310.0,2.0,82.0,62.0,100.0,0,4,0.026828212894850715,0.11697574893009986,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
55,2023-12-30,2024-11-07,313.0,6.99,22471.0,2.0,63.0,95.0,59.0,1,8,0.00422748309006764,0.20063694267515925,1,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0
56,2024-10-15,2025-10-05,355.0,7.59,10165.0,2.0,61.0,56.0,95.0,0,3,0.005508557938225457,0.17134831460674158,6,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0
57,2025-01-08,2025-10-06,271.0,6.99,5836.0,1.0,69.0,19.0,85.0,0,1,0.003255096796299469,0.2536764705882353,2,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0
58,2024-08-09,2025-10-06,423.0,6.99,3998.0,1.0,58.0,43.0,94.0,0,0,0.010752688172043012,0.13679245283018868,3,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0
59,2024-09-13,2024-09-28,15.0,6.99,87.0,1.0,63.0,8.0,105.0,1,0,0.09090909090909091,3.9375,7,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1
60,2024-10-02,2024-11-30,59.0,8.09,820.0,1.0,63.0,5.0,120.0,1,1,0.0060901339829476245,1.05,2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1
61,2023-09-07,2023-10-10,33.0,8.19,1139.0,2.0,63.0,4.0,83.0,1,2,0.0035087719298245615,1.8529411764705883,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1
