UNIQUE_CODE,FIRST_ORDER_DATE,LATEST_ORDER_DATE,TENURE_IN_COMPLETE_DAYS,STATUS,GMV_10K_LEVEL_VOICE_PLATFORM,CUISINE_TYPE,SERVICE_TYPE,SERVICE_RATE_PERCENT,ORDER_COUNT_VOICE_PLATFORM,ZIP_CODE,BUSINESS_PHONE_COUNT,WEEKLY_SERVICE_HOURS,TOTAL_MISTAKES_COUNT,AVG_CALL_DURATION_SECONDS
TEST##87227,2024-05-15,2025-10-06,509,active,level_1 ($10000 to $19999),chinese_american,full_time,6.99,10559,02301,1,64,84,87
TEST##86275,2023-10-20,2025-08-18,668,suspended,level_3 ($30000 to $39999),advanced,full_time,6.99,29261,39056,1,75,350,114
TEST##87229,2024-05-15,2025-10-06,509,active,level_2 ($20000 to $29999),chinese_american,full_time,6.99,13124,45238,2,66,25,66
TEST##85866,2023-07-31,2025-10-06,798,active,level_2 ($20000 to $29999),chinese_american,full_time,6.99,22203,45424,2,61,56,62
TEST##85166,2023-02-18,2025-10-06,961,active,level_2 ($20000 to $29999),chinese_japanese,full_time,6.99,28588,27549,1,59,165,74
TEST##89153,2025-03-07,2025-10-05,212,active,level_2 ($20000 to $29999),chinese_american,full_time,7.59,3041,94109,2,55,50,86
TEST##85853,2023-08-11,2024-09-15,401,canceled,level_2 ($20000 to $29999),chinese_american,part_time,6.99,9337,34609,2,,26,74
TEST##89365,2025-07-03,2025-10-06,95,active,level_2 ($20000 to $29999),chinese_american,full_time,6.99,2011,30165,1,61,19,73
TEST##89115,2025-02-28,2025-08-15,168,canceled,level_1 ($10000 to $19999),chinese_american,full_time,6.99,1942,57717,1,56,15,87
TEST##85258,2023-03-14,2025-10-05,936,active,level_1 ($10000 to $19999),chinese_american,full_time,6.99,23275,35757,2,61,68,64
TEST##85987,2023-08-22,2025-09-19,759,canceled,level_1 ($10000 to $19999),chinese_american,part_time,6.99,4093,52655,2,22,42,84
TEST##85865,2023-07-31,2025-10-06,798,active,level_3 ($30000 to $39999),chinese_american,part_time,6.99,32157,29532,2,30,132,67
TEST##87035,2024-03-12,2025-10-05,572,active,level_3 ($30000 to $39999),chinese_american,full_time,6.99,22698,27529,2,67,41,65
TEST##85521,2023-05-03,2025-10-06,887,active,level_2 ($20000 to $29999),chinese_american,full_time,8.39,25585,08021,2,67,119,86
TEST##86191,2023-10-29,2023-12-03,35,suspended,level_7 ($70000 to $79999),chinese_american,part_time,7.79,2097,12771,1,,9,86
TEST##86792,2024-01-14,2025-10-05,630,active,level_2 ($20000 to $29999),chinese_american,full_time,6.99,21075,30016,1,59,45,72
TEST##89125,2025-03-04,2025-06-13,101,suspended,level_1 ($10000 to $19999),chinese_american,part_time,6.99,1398,48045,1,26,13,65
TEST##87633,2024-08-28,2024-09-25,28,suspended,level_2 ($20000 to $29999),chinese_american,full_time,8.19,733,07601,2,,16,93
TEST##86868,2024-02-06,2025-10-05,607,active,level_0 ($0 to $9999),advanced,full_time,6.99,2294,21223,1,41,16,82
TEST##85307,2023-03-29,2023-03-30,1,suspended,level_0 ($0 to $9999),japanese,full_time,6.99,11,90630,,,4,170
TEST##87765,2024-10-21,2024-12-10,50,canceled,level_0 ($0 to $9999),japanese,full_time,6.99,117,07083,2,,3,97
TEST##85156,2023-02-22,2025-10-05,956,active,level_4 ($40000 to $49999),chinese_american,full_time,6.99,65773,27823,2,59,329,67
TEST##85939,2023-08-22,2025-10-05,775,active,level_5 ($50000 to $59999),chinese_american,full_time,6.99,41325,30813,1,60,231,77
TEST##86152,2023-09-21,2025-10-04,744,active,level_2 ($20000 to $29999),advanced,part_time,8.49,17151,23707,2,16,93,95
